"section","metric","value","detail"
"corpus","documents","2",""
"corpus","chars","1811605","raw, before whitespace normalization"
"corpus","bytes_utf8","1811605",""
"corpus","unique_chars","41",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"compression","base_units_total","1811605","raw UTF-8 bytes"
"compression","final_tokens_total","286810",""
"compression","compression_ratio","6.316","base units absorbed per final token"
"compression","chars_per_token","6.316","approx; whitespace collapsed before training"
"timing","load_seconds","0.026","wall time to load the corpus"
"timing","train_seconds","0.11","wall time to train the tokenizer"
"timing","base_units_per_second","16402377","training throughput over the base stream"
"top_token",",","7028","rank=1 id=44 share=2.45% base_units=1 merge=no"
"top_token"," et","3596","rank=2 id=322 share=1.25% base_units=3 merge=yes"
"top_token"," sit","3527","rank=3 id=335 share=1.23% base_units=4 merge=yes"
"top_token"," in","3428","rank=4 id=307 share=1.20% base_units=3 merge=yes"
"top_token"," ac","3206","rank=5 id=311 share=1.12% base_units=3 merge=yes"
"top_token"," a","3161","rank=6 id=259 share=1.10% base_units=2 merge=yes"
"top_token"," sed","2910","rank=7 id=338 share=1.01% base_units=4 merge=yes"
"top_token"," vitae","2891","rank=8 id=340 share=1.01% base_units=6 merge=yes"
"top_token"," vel","2829","rank=9 id=308 share=0.99% base_units=4 merge=yes"
"top_token"," amet","2814","rank=10 id=334 share=0.98% base_units=5 merge=yes"
