"section","metric","value","detail"
"corpus","documents","3",""
"corpus","chars","1081002","raw, before whitespace normalization"
"corpus","bytes_utf8","1175927",""
"corpus","unique_chars","96",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","4744",""
"vocab","final_vocab_size","5000",""
"vocab","target_vocab_size","5000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"compression","base_units_total","1175927","raw UTF-8 bytes"
"compression","final_tokens_total","288551",""
"compression","compression_ratio","4.075","base units absorbed per final token"
"compression","chars_per_token","3.746","approx; whitespace collapsed before training"
"timing","load_seconds","0.021","wall time to load the corpus"
"timing","train_seconds","4.659","wall time to train the tokenizer"
"timing","base_units_per_second","252417","training throughput over the base stream"
"top_token"," i","7484","rank=1 id=271 share=2.59% base_units=2 merge=yes"
"top_token"," z","3820","rank=2 id=263 share=1.32% base_units=2 merge=yes"
"top_token"," w","3689","rank=3 id=262 share=1.28% base_units=2 merge=yes"
"top_token"," —","3657","rank=4 id=308 share=1.27% base_units=4 merge=yes"
"top_token"," się","3509","rank=5 id=301 share=1.22% base_units=5 merge=yes"
"top_token"," na","3086","rank=6 id=287 share=1.07% base_units=3 merge=yes"
"top_token"," nie","2662","rank=7 id=293 share=0.92% base_units=4 merge=yes"
"top_token",".","2351","rank=8 id=46 share=0.81% base_units=1 merge=no"
"top_token",",","1949","rank=9 id=44 share=0.68% base_units=1 merge=no"
"top_token"," do","1834","rank=10 id=313 share=0.64% base_units=3 merge=yes"
