"section","metric","value","detail"
"corpus","documents","1171897",""
"corpus","chars","1844140560","raw, before whitespace normalization"
"corpus","bytes_utf8","1944925241",""
"corpus","unique_chars","8070",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","744",""
"vocab","final_vocab_size","1000",""
"vocab","target_vocab_size","1000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","0","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","744","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","1944928235","raw UTF-8 bytes"
"compression","final_tokens_total","826361071",""
"compression","compression_ratio","2.354","base units absorbed per final token"
"compression","chars_per_token","2.232","approx; whitespace collapsed before training"
"timing","load_seconds","34.151","wall time to load the corpus"
"timing","train_seconds","1187.714","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","1187.714","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","1637539","training throughput over the base stream (uses cumulative time)"
"top_token",".","14684736","rank=1 id=46 share=1.78% base_units=1 merge=no"
"top_token"," w","14564435","rank=2 id=258 share=1.76% base_units=2 merge=yes"
"top_token",",","13286648","rank=3 id=44 share=1.61% base_units=1 merge=no"
"top_token"," z","7435807","rank=4 id=264 share=0.90% base_units=2 merge=yes"
"top_token","u","7392936","rank=5 id=117 share=0.89% base_units=1 merge=no"
"top_token","t","7242990","rank=6 id=116 share=0.88% base_units=1 merge=no"
"top_token","m","7079957","rank=7 id=109 share=0.86% base_units=1 merge=no"
"top_token","k","6887194","rank=8 id=107 share=0.83% base_units=1 merge=no"
"top_token","d","6649722","rank=9 id=100 share=0.80% base_units=1 merge=no"
"top_token"," i","6391427","rank=10 id=289 share=0.77% base_units=2 merge=yes"
