"section","metric","value","detail"
"corpus","documents","6141",""
"corpus","chars","259776717","raw, before whitespace normalization"
"corpus","bytes_utf8","281206491",""
"corpus","unique_chars","420",""
"vocab","tokenizer_class","TokenizerUTF8",""
"vocab","base_vocab_size","256",""
"vocab","learned_merges","9744",""
"vocab","final_vocab_size","10000",""
"vocab","target_vocab_size","10000",""
"vocab","reached_target","1","0 = ran out of frequent pairs before the target"
"vocab","resumed_from_vocab","5000","0 = from scratch; else the checkpoint vocab this run warm-started from"
"vocab","resumed_from_checkpoint","TokenizerUTF8__wolne-lektury__5000","the checkpoint this run continued (empty = trained from scratch)"
"vocab","merges_this_run","5000","merges actually computed this run (fewer when warm-started)"
"compression","base_units_total","281206491","raw UTF-8 bytes"
"compression","final_tokens_total","67930443",""
"compression","compression_ratio","4.14","base units absorbed per final token"
"compression","chars_per_token","3.824","approx; whitespace collapsed before training"
"timing","load_seconds","0.0","wall time to load the corpus"
"timing","train_seconds","15.569","wall time for THIS run only; warm-started runs exclude inherited merges"
"timing","train_seconds_cumulative","328.841","total train time to reach this vocab, incl. every resumed ancestor (== train_seconds when from scratch)"
"timing","base_units_per_second","855143","training throughput over the base stream (uses cumulative time)"
"top_token"," i","1130440","rank=1 id=279 share=1.66% base_units=2 merge=yes"
"top_token"," —","943594","rank=2 id=303 share=1.39% base_units=4 merge=yes"
"top_token"," w","914963","rank=3 id=261 share=1.35% base_units=2 merge=yes"
"top_token"," się","906809","rank=4 id=299 share=1.33% base_units=5 merge=yes"
"top_token"," nie","689979","rank=5 id=294 share=1.02% base_units=4 merge=yes"
"top_token"," na","666323","rank=6 id=286 share=0.98% base_units=3 merge=yes"
"top_token"," z","660134","rank=7 id=264 share=0.97% base_units=2 merge=yes"
"top_token"," do","490822","rank=8 id=308 share=0.72% base_units=3 merge=yes"
"top_token",".","375582","rank=9 id=46 share=0.55% base_units=1 merge=no"
"top_token"," że","366980","rank=10 id=344 share=0.54% base_units=4 merge=yes"
